"drug1_synonym","drug2_synonym","filename","plate_row","plate_col","position_id","plate_row_letter","drug1_name","drug1_conc","drug2_name","drug2_conc","units","combo_id","Plate Barcode","sample_name","Amount","plate_type","nth_conc","failed_transfer","replicate","raw_val","zprime","robust_zprime","replicate_perc_cell_death","perc_cell_death","single_effect_drug1","single_effect_drug2","bliss_exp","bliss_synergy","loewe_synergy","single_agent_sd","flagged_sd","prev_val_low_to_high","delta_val_low_to_high","prev_val_high_to_low","delta_val_high_to_low","flagged_mono","nearest_dose","nearest_pred","abs_res","flagged_resid","flagged_final","mean_syn","median_syn","max_syn","second_max_syn","mean_syn_adj","median_syn_adj","max_syn_adj","second_max_syn_adj","mean_syn_diag","median_syn_diag","max_syn_diag","second_max_syn_diag","mean_syn_diag_adj","median_syn_diag_adj","max_syn_diag_adj","second_max_syn_diag_adj","mean_perc_cell_death","num_flagged_diag","moran_i","moran_i_STND"
"ZSTK-474",NA,"ASY06230218.csv",23,36,103,"W","SJ000821571",0.011431,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",8,0,1,41097,0.662206292656549,0.535166809186103,-3.08251619345093,8.38655427752855,0,8.38655427752855,8.38655427752855,0,NA,7.47412072016416,0,4.63171206495544,3.75484221257311,8.32507300227417,0.0614812752543781,0,0.0114302631606612,5.06985374363553,3.31670053389302,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",14,36,103,"N","SJ000821571",0.308642,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",5,0,1,43476,0.662206292656549,0.535166809186103,-9.17330192785274,10.8395341166769,0,10.8395341166769,10.8395341166769,0,NA,10.8602706366604,0,2.56264147674819,8.27689263992867,28.3111932865846,-17.4716591699077,0,0.308627763651367,8.91608838236237,1.92344573431448,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",17,36,103,"Q","SJ000821571",0.102881,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",6,0,1,40757,0.662206292656549,0.535166809186103,-2.2120381986226,2.56264147674819,0,2.56264147674819,2.56264147674818,0,NA,8.96964926182124,0,8.32507300227417,-5.76243152552599,10.8395341166769,-8.27689263992867,0,0.102874736946432,5.46200012413234,2.89935864738415,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",20,36,103,"T","SJ000821571",0.034294,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",7,0,1,40933,0.662206292656549,0.535166809186103,-2.66263857241609,8.32507300227417,0,8.32507300227417,8.32507300227417,0,NA,11.3441126879242,0,8.38655427752855,-0.0614812752543781,2.56264147674819,5.76243152552599,0,0.0342911842297918,5.10447781490299,3.22059518737118,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",20,45,130,"T","SJ000855492",0.034294,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",7,0,1,39825,0.662206292656549,0.535166809186103,0.174095598965667,-0.204726431702072,-0.204726431702072,0,-0.20472643170207,0,NA,6.92001267374543,0,3.32714700232357,-3.53187343402564,3.22187330828392,-3.426599739986,0,0.0342911842297918,4.03335617174283,4.2380826034449,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",26,36,103,"Z","SJ000821571",0.00381,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",9,0,1,44738,0.662206292656549,0.535166809186103,-12.4043114263038,4.63171206495544,0,4.63171206495544,4.63171206495545,0,NA,14.415338939814,0,0.3687484531847,4.26296361177074,8.38655427752855,-3.75484221257311,0,0.00381004385985775,5.0665227850618,0.434810720106359,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"ZSTK-474",NA,"ASY06230218.csv",29,36,103,"AC","SJ000821571",0.00127,NA,NA,"uM","SJ000821571_NA","ASY06230218","CHP134.CSV",20,"single_agent",10,0,1,40472,0.662206292656549,0.535166809186103,-1.48237282060473,0.3687484531847,0,0.3687484531847,0.368748453184693,0,NA,8.55381124706989,0,NA,NA,4.63171206495544,-4.26296361177074,0,0.00127,5.06620254028453,4.69745408709983,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",29,45,130,"AC","SJ000855492",0.00127,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",10,0,1,36285,0.662206292656549,0.535166809186103,9.23730766276658,3.34738516396994,3.34738516396994,0,3.34738516396993,0,NA,7.23805884710642,0,NA,NA,6.38909876468167,-3.04171360071173,0,0.00127,3.61148240661445,0.26409724264451,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",23,45,130,"W","SJ000855492",0.011431,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",8,0,1,39127,0.662206292656549,0.535166809186103,1.96113571776031,3.32714700232357,3.32714700232357,0,3.32714700232356,0,NA,11.7883493977843,0,6.38909876468167,-3.0619517623581,-0.204726431702072,3.53187343402564,0,0.0114302631606612,3.89226624589928,0.565119243575713,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
"APREMILAST",NA,"ASY06230218.csv",26,45,130,"Z","SJ000855492",0.00381,NA,NA,"uM","SJ000855492_NA","ASY06230218","CHP134.CSV",20,"single_agent",9,0,1,46473,0.662206292656549,0.535166809186103,-16.8463094293249,6.38909876468167,6.38909876468167,0,6.38909876468168,0,NA,12.8475562123981,0,3.34738516396994,3.04171360071173,3.32714700232357,3.0619517623581,0,0.00381004385985775,3.75164183742981,2.63745692725186,0,0,0.871059183700712,-0.897241683511467,31.9894773104872,28.472488411722,-3.03831438334751,-3.44158855893391,7.58846640346674,7.00448880163158,-1.1318352499396,0.755130458826546,14.7639333992417,7.92587587879834,-4.94957066607995,-7.33505787572916,7.00448880163158,4.64326610850611,19.9913391989412,3,0.24200130750991,0.280028845568544
